dia,total_internacoes
2019-10-26,1
2020-10-11,1
2021-01-24,1
2021-01-31,1
2021-03-31,1
2021-04-13,1
2021-05-27,1
2021-06-21,1
2021-07-12,1
2021-07-27,1
2022-01-24,1
2022-07-21,1
2022-10-27,6
2022-11-16,1
2022-11-21,1
2022-12-06,1
2022-12-14,1
2022-12-16,3
2022-12-19,1
2022-12-23,1
2022-12-24,1
2022-12-26,2
2022-12-27,1
2022-12-29,5
2022-12-30,3
2022-12-31,11
2023-01-01,68
2023-01-02,90
2023-01-03,120
2023-01-04,109
2023-01-05,117
2023-01-06,96
2023-01-07,66
2023-01-08,53
2023-01-09,170
2023-01-10,91
2023-01-11,145
2023-01-12,113
2023-01-13,82
2023-01-14,63
2023-01-15,52
2023-01-16,130
2023-01-17,101
2023-01-18,125
2023-01-19,113
2023-01-20,111
2023-01-21,54
2023-01-22,49
2023-01-23,129
2023-01-24,100
2023-01-25,123
2023-01-26,106
2023-01-27,120
2023-01-28,56
2023-01-29,76
2023-01-30,120
2023-01-31,84
2023-02-01,168
2023-02-02,113
2023-02-03,104
2023-02-04,63
2023-02-05,49
2023-02-06,137
2023-02-07,121
2023-02-08,160
2023-02-09,100
2023-02-10,85
2023-02-11,57
2023-02-12,58
2023-02-13,135
2023-02-14,94
2023-02-15,125
2023-02-16,102
2023-02-17,100
2023-02-18,56
2023-02-19,61
2023-02-20,81
2023-02-21,57
2023-02-22,119
2023-02-23,112
2023-02-24,117
2023-02-25,58
2023-02-26,56
2023-02-27,162
2023-02-28,130
2023-03-01,165
2023-03-02,147
2023-03-03,145
2023-03-04,88
2023-03-05,71
2023-03-06,171
2023-03-07,131
2023-03-08,175
2023-03-09,170
2023-03-10,126
2023-03-11,93
2023-03-12,82
2023-03-13,151
2023-03-14,169
2023-03-15,162
2023-03-16,115
2023-03-17,110
2023-03-18,88
2023-03-19,89
2023-03-20,112
2023-03-21,123
2023-03-22,128
2023-03-23,125
2023-03-24,123
2023-03-25,88
2023-03-26,77
2023-03-27,199
2023-03-28,150
2023-03-29,173
2023-03-30,147
2023-03-31,151
2023-04-01,89
2023-04-02,80
2023-04-03,146
2023-04-04,157
2023-04-05,170
2023-04-06,172
2023-04-07,77
2023-04-08,102
2023-04-09,79
2023-04-10,157
2023-04-11,168
2023-04-12,178
2023-04-13,141
2023-04-14,146
2023-04-15,91
2023-04-16,88
2023-04-17,156
2023-04-18,145
2023-04-19,115
2023-04-20,132
2023-04-21,66
2023-04-22,101
2023-04-23,78
2023-04-24,163
2023-04-25,184
2023-04-26,130
2023-04-27,140
2023-04-28,119
2023-04-29,82
2023-04-30,95
2023-05-01,103
2023-05-02,141
2023-05-03,132
2023-05-04,148
2023-05-05,95
2023-05-06,87
2023-05-07,68
2023-05-08,154
2023-05-09,171
2023-05-10,131
2023-05-11,132
2023-05-12,125
2023-05-13,74
2023-05-14,81
2023-05-15,190
2023-05-16,144
2023-05-17,225
2023-05-18,158
2023-05-19,150
2023-05-20,103
2023-05-21,91
2023-05-22,150
2023-05-23,204
2023-05-24,171
2023-05-25,150
2023-05-26,132
2023-05-27,83
2023-05-28,74
2023-05-29,149
2023-05-30,136
2023-05-31,167
2023-06-01,137
2023-06-02,109
2023-06-03,82
2023-06-04,84
2023-06-05,176
2023-06-06,152
2023-06-07,211
2023-06-08,74
2023-06-09,157
2023-06-10,80
2023-06-11,61
2023-06-12,173
2023-06-13,119
2023-06-14,197
2023-06-15,81
2023-06-16,92
2023-06-17,51
2023-06-18,56
2023-06-19,127
2023-06-20,129
2023-06-21,212
2023-06-22,146
2023-06-23,110
2023-06-24,74
2023-06-25,76
2023-06-26,152
2023-06-27,129
2023-06-28,143
2023-06-29,117
2023-06-30,225
2023-07-01,71
2023-07-02,65
2023-07-03,154
2023-07-04,84
2023-07-05,180
2023-07-06,99
2023-07-07,139
2023-07-08,70
2023-07-09,64
2023-07-10,143
2023-07-11,115
2023-07-12,138
2023-07-13,106
2023-07-14,113
2023-07-15,67
2023-07-16,49
2023-07-17,147
2023-07-18,162
2023-07-19,140
2023-07-20,110
2023-07-21,123
2023-07-22,89
2023-07-23,73
2023-07-24,145
2023-07-25,140
2023-07-26,150
2023-07-27,111
2023-07-28,107
2023-07-29,58
2023-07-30,59
2023-07-31,130
2023-08-01,159
2023-08-02,160
2023-08-03,116
2023-08-04,108
2023-08-05,56
2023-08-06,67
2023-08-07,116
2023-08-08,160
2023-08-09,148
2023-08-10,137
2023-08-11,118
2023-08-12,71
2023-08-13,50
2023-08-14,153
2023-08-15,153
2023-08-16,156
2023-08-17,135
2023-08-18,106
2023-08-19,66
2023-08-20,51
2023-08-21,150
2023-08-22,180
2023-08-23,131
2023-08-24,101
2023-08-25,116
2023-08-26,79
2023-08-27,53
2023-08-28,147
2023-08-29,165
2023-08-30,149
2023-08-31,143
2023-09-01,110
2023-09-02,81
2023-09-03,60
2023-09-04,138
2023-09-05,196
2023-09-06,143
2023-09-07,71
2023-09-08,104
2023-09-09,58
2023-09-10,61
2023-09-11,131
2023-09-12,183
2023-09-13,148
2023-09-14,98
2023-09-15,138
2023-09-16,61
2023-09-17,64
2023-09-18,127
2023-09-19,177
2023-09-20,71
2023-09-21,140
2023-09-22,105
2023-09-23,76
2023-09-24,58
2023-09-25,135
2023-09-26,149
2023-09-27,169
2023-09-28,122
2023-09-29,113
2023-09-30,63
2023-10-01,60
2023-10-02,148
2023-10-03,134
2023-10-04,174
2023-10-05,134
2023-10-06,119
2023-10-07,69
2023-10-08,62
2023-10-09,151
2023-10-10,173
2023-10-11,166
2023-10-12,66
2023-10-13,110
2023-10-14,87
2023-10-15,68
2023-10-16,116
2023-10-17,135
2023-10-18,155
2023-10-19,142
2023-10-20,109
2023-10-21,85
2023-10-22,82
2023-10-23,151
2023-10-24,179
2023-10-25,164
2023-10-26,146
2023-10-27,109
2023-10-28,96
2023-10-29,65
2023-10-30,150
2023-10-31,224
2023-11-01,169
2023-11-02,58
2023-11-03,122
2023-11-04,71
2023-11-05,78
2023-11-06,136
2023-11-07,159
2023-11-08,187
2023-11-09,134
2023-11-10,112
2023-11-11,95
2023-11-12,65
2023-11-13,162
2023-11-14,172
2023-11-15,59
2023-11-16,158
2023-11-17,100
2023-11-18,50
2023-11-19,71
2023-11-20,152
2023-11-21,153
2023-11-22,179
2023-11-23,172
2023-11-24,116
2023-11-25,83
2023-11-26,71
2023-11-27,174
2023-11-28,156
2023-11-29,190
2023-11-30,106
2023-12-01,124
2023-12-02,72
2023-12-03,70
2023-12-04,158
2023-12-05,138
2023-12-06,160
2023-12-07,120
2023-12-08,127
2023-12-09,86
2023-12-10,76
2023-12-11,117
2023-12-12,148
2023-12-13,175
2023-12-14,129
2023-12-15,105
2023-12-16,71
2023-12-17,93
2023-12-18,188
2023-12-19,137
2023-12-20,165
2023-12-21,168
2023-12-22,118
2023-12-23,89
2023-12-24,70
2023-12-25,86
2023-12-26,153
2023-12-27,114
2023-12-28,117
2023-12-29,77
2023-12-30,73
2023-12-31,54
